site_id,state,county,city,address,source,url,result,parcel_id,owner,operator_owner,caveat
ADELGAXA,GA,Cook County,Adel,106 North Parrish Avenue,Cook County layer,https://www.sgrcmaps.com/alma/rest/services/Cook/CookParcels/MapServer/1,hit,???,,,
ALBYKYXA,KY,Clinton County,Albany,400 N Washington,,,no candidate source,,,,
ANDRTXXA,TX,Andrews County,Andrews,112 Southwest 1st,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,2588,CSL TEXAS SYSTEM LLC,yes,
ASLDKYXA,KY,Boyd County,Ashland,619 15th Street,,,no candidate source,,,,
MEDSKYXA,KY,Boyd County,Ashland,9216 Highway 60,,,no candidate source,,,,
CRNLGA01,GA,Habersham County,Baldwin,2000 Communications Boulevard,Habersham County layer,https://wfs.schneidercorp.com/arcgis/rest/services/HabershamCountyGA_WFS/MapServer/4,hit,090 016,CSL GEORGIA SYSTEM LLC,yes,
BBVLKYXA,KY,Knox County,Barbourville,207 South Main Street,,,no candidate source,,,,
BEREKYXA,KY,Madison County,Berea,310 Center Street,Madison County layer,https://arcserver.madisoncountyky.us/arcgis/rest/services/County_Web_Maps/County_Parcels/MapServer/1,hit,B010-0004-0016,,,
SHBGKYAB,KY,Bath County,BETHEL,160 Old Highway 11,,,no candidate source,,,,
BLVIGABW,GA,Union County,Blairsville,40 River Road Connector,,,no candidate source,,,,
BLKLGAXA,GA,Early County,Blakely,15166 River St,,,no candidate source,,,,
BRHDKYXA,KY,Rockcastle County,BRODHEAD,4297 Highway 70,,,no candidate source,,,,
BRAROKXE,OK,Wagoner County,Broken Arrow,1025 North 84th Street,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,730013410,"CSL OKLAHOMA SYSTEM, LLC C/O WINDSTREAM COMM ATTN: C. ZIHALA",yes,
BKVLKYXA,KY,Bracken County,Brooksville,202 Madison St,,,no candidate source,,,,
BWFDTXXA,TX,Terry County,Brownfield,101 East Tate,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,R10405,"CSL TEXAS SYSTEMS, LLC",yes,
BRSDKYXA,KY,Pulaski County,BURNSIDE,53 E French Ave 03,,,no candidate source,,,,
CAIRGAXA,GA,Grady County,Cairo,48 2nd Avenue,Grady County layer,https://wfs.schneidercorp.com/arcgis/rest/services/GradyCountyGA_WFS/MapServer/0,hit,PUBLIC UTILITY,,yes,"2017 parcels, no owner field"
CMVLKYXA,KY,Taylor County,Campbellsville,303 E Broadway,,,no candidate source,,,,
CNVLGAXA,GA,Houston County,Centerville,109 Gunn Road,Houston County layer,https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/arcgis/rest/services/HoustonCoParcels_withOwner/FeatureServer/0,hit,C20-5-PU,,yes,
CHWOGAXA,GA,Murray County,Chatsworth,220 North 2nd Avenue,,,no candidate source,,,,
CHTHOKXD,OK,McIntosh County,Checotah,115 Northwest 1st Street,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,460026091,"CSL OKLAHOMA SYSTEM, LLC %WINDSTREAM COMMUNICATIONS",yes,
CLVLGAXA,GA,Habersham County,Clarkesville,390 Jefferson Street,Habersham County layer,https://wfs.schneidercorp.com/arcgis/rest/services/HabershamCountyGA_WFS/MapServer/4,hit,102 098,STANDARD TELEPHONE COMPANY,yes,
